seniority,experience_range,total_applications,total_hired,hiring_rate_pct
Architect,0-4 years,1034,146,14.12
Architect,10-19 years,2316,328,14.16
Architect,20+ years,2572,336,13.06
Architect,5-9 years,1157,161,13.92
Intern,0-4 years,1045,170,16.27
Intern,10-19 years,2325,316,13.59
Intern,20+ years,2686,356,13.25
Intern,5-9 years,1199,143,11.93
Junior,0-4 years,1007,138,13.70
Junior,10-19 years,2257,322,14.27
Junior,20+ years,2598,356,13.70
Junior,5-9 years,1238,161,13.00
Lead,0-4 years,1050,134,12.76
Lead,10-19 years,2269,305,13.44
Lead,20+ years,2611,353,13.52
Lead,5-9 years,1141,137,12.01
Mid-Level,0-4 years,1089,121,11.11
Mid-Level,10-19 years,2378,310,13.04
Mid-Level,20+ years,2615,338,12.93
Mid-Level,5-9 years,1171,155,13.24
Senior,0-4 years,1056,137,12.97
Senior,10-19 years,2356,310,13.16
Senior,20+ years,2494,343,13.75
Senior,5-9 years,1153,149,12.92
Trainee,0-4 years,1083,147,13.57
Trainee,10-19 years,2283,307,13.45
Trainee,20+ years,2622,343,13.08
Trainee,5-9 years,1195,176,14.73
(28 rows)
