country,total_applications,total_hired,hiring_rate_pct
Malawi,242,23,9.50
Spain,238,31,13.03
Cook Islands,234,28,11.97
Svalbard & Jan Mayen Islands,234,26,11.11
Netherlands Antilles,234,29,12.39
Tajikistan,233,23,9.87
Samoa,232,30,12.93
Malaysia,232,34,14.66
Italy,232,29,12.50
Taiwan,231,29,12.55
Niger,231,40,17.32
Nauru,231,33,14.29
Venezuela,229,27,11.79
Angola,229,34,14.85
Dominica,229,31,13.54
Saint Helena,228,37,16.23
Hungary,228,27,11.84
Luxembourg,228,32,14.04
Martinique,227,29,12.78
Cambodia,226,23,10.18
(20 rows)
