code_challenge_score,technical_interview_score,total_applications,total_hired
0,0,390,0
0,1,410,0
0,2,391,0
0,3,416,0
0,4,406,0
0,5,427,0
0,6,370,0
0,7,413,0
0,8,440,0
0,9,424,0
0,10,415,0
1,0,414,0
1,1,413,0
1,2,417,0
1,3,416,0
1,4,439,0
1,5,452,0
1,6,417,0
1,7,416,0
1,8,390,0
1,9,406,0
1,10,410,0
2,0,414,0
2,1,434,0
2,2,415,0
2,3,434,0
2,4,423,0
2,5,410,0
2,6,382,0
2,7,376,0
2,8,423,0
2,9,418,0
2,10,450,0
3,0,424,0
3,1,409,0
3,2,408,0
3,3,410,0
3,4,447,0
3,5,433,0
3,6,457,0
3,7,405,0
3,8,427,0
3,9,447,0
3,10,411,0
4,0,414,0
4,1,445,0
4,2,415,0
4,3,415,0
4,4,358,0
4,5,425,0
4,6,413,0
4,7,397,0
4,8,412,0
4,9,418,0
4,10,409,0
5,0,422,0
5,1,411,0
5,2,392,0
5,3,399,0
5,4,387,0
5,5,420,0
5,6,395,0
5,7,413,0
5,8,418,0
5,9,421,0
5,10,401,0
6,0,427,0
6,1,380,0
6,2,416,0
6,3,380,0
6,4,428,0
6,5,380,0
6,6,397,0
6,7,409,0
6,8,392,0
6,9,430,0
6,10,380,0
7,0,414,0
7,1,397,0
7,2,385,0
7,3,405,0
7,4,428,0
7,5,422,0
7,6,412,0
7,7,409,409
7,8,406,406
7,9,405,405
7,10,423,423
8,0,392,0
8,1,459,0
8,2,420,0
8,3,425,0
8,4,427,0
8,5,359,0
8,6,423,0
8,7,472,472
8,8,406,406
8,9,401,401
8,10,435,435
9,0,400,0
9,1,419,0
9,2,405,0
9,3,410,0
9,4,414,0
9,5,401,0
9,6,380,0
9,7,418,418
9,8,440,440
9,9,429,429
9,10,403,403
10,0,428,0
10,1,411,0
10,2,436,0
10,3,418,0
10,4,421,0
10,5,398,0
10,6,425,0
10,7,450,450
10,8,401,401
10,9,398,398
10,10,402,402
(121 rows)
